engine,configuration,runtime_version,model_storage,execution_period,sample,warmup,status,excluded,e2e_s,frames,file_sha256
sglang,ref2va-image-c1,original + output-retention patch,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,532.1662160870619,124,76234cbd1ef42b4cd881d90ae0f96a5bc2837fc9f4a2cf04fe120626e22348f7
sglang,ref2va-image-c1,original + output-retention patch,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,532.1755055449903,124,76234cbd1ef42b4cd881d90ae0f96a5bc2837fc9f4a2cf04fe120626e22348f7
sglang,ref2va-image-c1,original + output-retention patch,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,532.165389710106,124,76234cbd1ef42b4cd881d90ae0f96a5bc2837fc9f4a2cf04fe120626e22348f7
sglang,ref2va-image-c1,original + output-retention patch,NVMe,initial-node; shared host load,warmup,True,PASS,False,532.1978237382136,124,76234cbd1ef42b4cd881d90ae0f96a5bc2837fc9f4a2cf04fe120626e22348f7
sglang,ref2va-images-c1,original + output-retention patch,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,1117.3356274398975,124,11aa2e54f605c640f884a7391cd5f4471f19da0bc69e79c5986eb7636c639715
sglang,ref2va-images-c1,original + output-retention patch,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,1114.3544757007621,124,11aa2e54f605c640f884a7391cd5f4471f19da0bc69e79c5986eb7636c639715
sglang,ref2va-images-c1,original + output-retention patch,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,1114.3526500812732,124,11aa2e54f605c640f884a7391cd5f4471f19da0bc69e79c5986eb7636c639715
sglang,ref2va-images-c1,original + output-retention patch,NVMe,initial-node; shared host load,warmup,True,PASS,False,1114.3810275536962,124,11aa2e54f605c640f884a7391cd5f4471f19da0bc69e79c5986eb7636c639715
sglang,ref2va-video-silent-c1,original + output-retention patch,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,980.1035464089364,124,6f84bd5af8d636a78812917af49c124a52295edd593c202fdc4cf0d16c82a993
sglang,ref2va-video-silent-c1,original + output-retention patch,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,983.1123390668072,124,6f84bd5af8d636a78812917af49c124a52295edd593c202fdc4cf0d16c82a993
sglang,ref2va-video-silent-c1,original + output-retention patch,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,980.1187768862583,124,6f84bd5af8d636a78812917af49c124a52295edd593c202fdc4cf0d16c82a993
sglang,ref2va-video-silent-c1,original + output-retention patch,NVMe,initial-node; shared host load,warmup,True,PASS,False,980.1363924951293,124,6f84bd5af8d636a78812917af49c124a52295edd593c202fdc4cf0d16c82a993
sglang,ref2va-image-audio-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,542.4123116428964,124,23856a1423ac69080debc3369f1596a5b237f44ed2c37363b29b07ce87a21595
sglang,ref2va-image-audio-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,542.4369414248504,124,23856a1423ac69080debc3369f1596a5b237f44ed2c37363b29b07ce87a21595
sglang,ref2va-image-audio-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,542.459154932294,124,23856a1423ac69080debc3369f1596a5b237f44ed2c37363b29b07ce87a21595
sglang,ref2va-image-audio-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,542.479318165686,124,23856a1423ac69080debc3369f1596a5b237f44ed2c37363b29b07ce87a21595
sglang,ref2va-mixed-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,1341.2015535486862,124,31fa13204d4e8cbe56876f441cd21d3565de059304c153b2354f0f303fd7813b
sglang,ref2va-mixed-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,1340.242982044816,124,31fa13204d4e8cbe56876f441cd21d3565de059304c153b2354f0f303fd7813b
sglang,ref2va-mixed-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,1340.2783181322739,124,31fa13204d4e8cbe56876f441cd21d3565de059304c153b2354f0f303fd7813b
sglang,ref2va-mixed-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,1340.2484998260625,124,31fa13204d4e8cbe56876f441cd21d3565de059304c153b2354f0f303fd7813b
sglang,ref2va-video-sound-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,995.0943563482724,124,a22c8296512b004d71d83cab9a5e87bc23237d87bc72dd25b66403dd92ac98dd
sglang,ref2va-video-sound-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,995.1008558878675,124,a22c8296512b004d71d83cab9a5e87bc23237d87bc72dd25b66403dd92ac98dd
sglang,ref2va-video-sound-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,995.25534676807,124,a22c8296512b004d71d83cab9a5e87bc23237d87bc72dd25b66403dd92ac98dd
sglang,ref2va-video-sound-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,995.1569927600212,124,6d12183057fa538c5fb5d6291c85dcdc7dda276505939c9665af010913f0866c
vllm-omni,t2va-10s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,965.2635411890224,243,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7
vllm-omni,t2va-10s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,965.6920177401043,243,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7
vllm-omni,t2va-10s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,965.6062482879497,243,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7
vllm-omni,t2va-10s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,warmup,True,PASS,False,966.5688617778942,243,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7
vllm-omni,t2va-15s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,1908.5287487599999,362,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40
vllm-omni,t2va-15s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,1906.8606502367184,362,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40
vllm-omni,t2va-15s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,1907.0320321419276,362,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40
vllm-omni,t2va-15s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,warmup,True,PASS,False,1910.2674627751112,362,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40
vllm-omni,t2va-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,329.5915349861607,124,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02
vllm-omni,t2va-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,329.8923613000661,124,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02
vllm-omni,t2va-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,329.9320788178593,124,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02
vllm-omni,t2va-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,warmup,True,PASS,False,352.8426189152524,124,dcfff3809b661d9412929a8cf260ad5a474dfb6db07e2e40432c207c7aa38429
vllm-omni,t2va-zh-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,329.9922141493298,124,ec5644b8a19dc91d51f89b05c92ab74b8a8cc1a5302b8274b2ed5139803b1fe9
vllm-omni,t2va-zh-5s-c1,original; subsequent API acceptance failed,NVMe,initial-node; shared host load,warmup,True,PASS,False,329.74938594177365,124,ec5644b8a19dc91d51f89b05c92ab74b8a8cc1a5302b8274b2ed5139803b1fe9
vllm-omni,fl2va-both-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,391.27017377782613,124,5eda57c816ee32630e57f11c8506a4b5a67913c78f93cb07d24b29023e624bd8
vllm-omni,fl2va-both-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,389.11529708094895,124,5eda57c816ee32630e57f11c8506a4b5a67913c78f93cb07d24b29023e624bd8
vllm-omni,fl2va-both-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,389.00583686027676,124,5eda57c816ee32630e57f11c8506a4b5a67913c78f93cb07d24b29023e624bd8
vllm-omni,fl2va-both-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,389.5195430056192,124,5eda57c816ee32630e57f11c8506a4b5a67913c78f93cb07d24b29023e624bd8
vllm-omni,fl2va-first-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,360.09135682322085,124,9d8bd21a07ab2307a9a55444199e00c1fb2a816c990776fbd9c7b25c2408626c
vllm-omni,fl2va-first-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,357.79305428406224,124,9d8bd21a07ab2307a9a55444199e00c1fb2a816c990776fbd9c7b25c2408626c
vllm-omni,fl2va-first-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,359.1057692458853,124,9d8bd21a07ab2307a9a55444199e00c1fb2a816c990776fbd9c7b25c2408626c
vllm-omni,fl2va-first-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,359.53762098494917,124,9d8bd21a07ab2307a9a55444199e00c1fb2a816c990776fbd9c7b25c2408626c
vllm-omni,fl2va-last-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,357.8255731589161,124,b75327d1990f6989b38c9757aa83e5d290fdfa84b421044ca001c06816dec0b9
vllm-omni,fl2va-last-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,359.36285598389804,124,b75327d1990f6989b38c9757aa83e5d290fdfa84b421044ca001c06816dec0b9
vllm-omni,fl2va-last-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,359.06062900600955,124,b75327d1990f6989b38c9757aa83e5d290fdfa84b421044ca001c06816dec0b9
vllm-omni,fl2va-last-c1,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,warmup,True,PASS,False,357.58607838721946,124,b75327d1990f6989b38c9757aa83e5d290fdfa84b421044ca001c06816dec0b9
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c0,False,PASS,False,332.69401712482795,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r0-c1,False,PASS,False,656.0135372839868,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c0,False,PASS,False,332.2425142098218,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r1-c1,False,PASS,False,655.7143704020418,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
vllm-omni,t2va-5s-c2,h3-20260906-audio-context-rpc-errors-v1,NVMe,initial-node; shared host load,r2-c0,False,PASS,False,332.8381261252798,124,ad4dd5d4e3eddf602c836608cbbe92c1e9f84ee215761760b72064da72d26b9f
